company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,basesalary,bonus,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Apple
Amazon,Software Engineer,135000,"Seattle, WA",2.0,0.0,105000.0,25000.0,0,0,0,0,0,False
Amazon,Product Manager,325000,"Seattle, WA",12.0,3.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,169000,"Dublin, DN, Ireland",15.0,2.0,105000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,230000,"Palo Alto, CA",3.0,3.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,350000,"Seattle, WA",9.0,7.0,150000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,217000,"Seattle, WA",10.0,4.0,121000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,160000,"Vancouver, BC, Canada",10.0,1.0,130000.0,30000.0,0,0,0,0,0,False
Amazon,Software Engineer,164000,"San Francisco, CA",4.0,2.0,127000.0,0.0,0,0,0,0,0,False
Amazon,Data Scientist,200000,"Seattle, WA",3.0,0.0,150000.0,81000.0,0,0,0,0,0,False
Amazon,Software Engineer,155000,"Palo Alto, CA",2.0,1.0,122000.0,27500.0,0,0,0,0,0,False
Amazon,Software Engineer,210000,"Seattle, WA",9.0,6.0,118000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,240000,"Seattle, WA",13.0,1.0,160000.0,60000.0,0,0,0,0,0,False
Amazon,Product Manager,460000,"Seattle, WA",20.0,4.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,220000,"Seattle, WA",12.0,6.0,150000.0,5000.0,0,0,0,0,0,False
Amazon,Software Engineer,200000,"San Francisco, CA",5.0,5.0,155000.0,60000.0,0,0,0,0,0,False
Amazon,Software Engineer,168000,"Herndon, VA",5.0,1.0,125000.0,40000.0,0,0,0,0,0,False
Amazon,Product Manager,190000,"Seattle, WA",9.0,2.0,110000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,310000,"Seattle, WA",8.0,3.0,146000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,192000,"Irvine, CA",2.5,2.5,131000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,195000,"Austin, TX",8.0,0.0,145000.0,50000.0,0,0,0,0,0,False
Amazon,Software Engineer,190000,"Vancouver, BC, Canada",12.0,4.0,120000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,275000,"Seattle, WA",8.0,6.0,145000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,129000,"Herndon, VA",3.0,1.0,107000.0,20000.0,0,0,0,0,0,False
Amazon,Software Engineer,180000,"Palo Alto, CA",0.0,1.0,140000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,373000,"Seattle, WA",15.0,0.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,280000,"Seattle, WA",5.0,5.0,145000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,173000,"Los Angeles, CA",6.0,1.0,150000.0,3000.0,0,0,0,0,0,False
Amazon,Software Engineer,155000,"Seattle, WA",0.0,0.0,106000.0,45000.0,0,0,0,0,0,False
Amazon,Product Manager,400000,"Seattle, WA",15.0,10.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,192000,"Seattle, WA",3.0,3.0,132000.0,1000.0,0,0,0,0,0,False
Amazon,Software Engineer,240000,"Cambridge, EN, United Kingdom",7.0,7.0,140000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,189000,"Seattle, WA",5.0,4.4,144000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,255000,"Seattle, WA",6.0,0.0,150000.0,97000.0,0,0,0,0,0,False
Amazon,Software Engineer,230000,"Palo Alto, CA",4.0,2.0,0.0,0.0,0,0,0,0,0,False
Amazon,Data Scientist,130000,"Seattle, WA",7.0,1.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,250000,"Seattle, WA",8.0,4.0,135000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,144500,"Seattle, WA",1.0,0.0,108000.0,34000.0,0,0,0,0,0,False
Amazon,Solution Architect,250000,"Seattle, WA",15.0,2.0,0.0,0.0,0,0,0,0,0,False
Amazon,Solution Architect,250000,"Seattle, WA",15.0,2.0,0.0,0.0,0,0,0,0,0,False
Amazon,Solution Architect,250000,"Seattle, WA",15.0,2.0,0.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,225000,"Seattle, WA",10.0,2.0,0.0,0.0,0,0,0,0,0,False
