company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,basesalary,bonus,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Amazon
Apple,Software Engineer,205000,"Cupertino, CA",10.0,1.0,150000.0,15000.0,0,0,0,0,0,False
Apple,Software Engineer,247000,"Sunnyvale, CA",8.0,1.0,170000.0,37000.0,0,0,0,0,0,False
Apple,Software Engineer,215000,"Sunnyvale, CA",4.0,0.0,145000.0,45000.0,0,0,0,0,0,False
Apple,Software Engineer,250000,"Cupertino, CA",4.0,1.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,240000,"Cupertino, CA",5.0,0.0,160000.0,40000.0,0,0,0,0,0,False
Apple,Software Engineer,220000,"Sunnyvale, CA",5.0,1.0,155000.0,25000.0,0,0,0,0,0,False
Apple,Software Engineer,178000,"Cupertino, CA",3.0,0.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,190000,"Cupertino, CA",2.0,1.0,135000.0,15000.0,0,0,0,0,0,False
Apple,Software Engineer,352000,"Cupertino, CA",8.0,6.0,195000.0,32000.0,0,0,0,0,0,False
Apple,Software Engineer,251000,"Cupertino, CA",3.0,3.0,160000.0,16000.0,0,0,0,0,0,False
Apple,Software Engineer,255000,"Sunnyvale, CA",10.0,1.0,185000.0,30000.0,0,0,0,0,0,False
Apple,Software Engineer,372000,"Cupertino, CA",7.0,7.0,192000.0,30000.0,0,0,0,0,0,False
Apple,Data Scientist,322000,"Cupertino, CA",6.0,2.0,176000.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,284000,"Sunnyvale, CA",8.0,4.0,165000.0,27000.0,0,0,0,0,0,False
Apple,Software Engineer,450000,"Cupertino, CA",11.0,5.0,220000.0,50000.0,0,0,0,0,0,False
Apple,Software Engineering Manager,325000,"Cupertino, CA",4.0,4.0,177000.0,26000.0,0,0,0,0,0,False
Apple,Product Designer,247000,"Cupertino, CA",8.0,0.0,187000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,300000,"Cupertino, CA",6.0,2.0,185000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,200000,"Sunnyvale, CA",4.0,4.0,138000.0,12000.0,0,0,0,0,0,False
Apple,Software Engineering Manager,500000,"San Francisco, CA",16.0,7.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,304000,"Cupertino, CA",15.0,2.5,182000.0,22000.0,0,0,0,0,0,False
Apple,Software Engineer,290000,"Cupertino, CA",4.0,2.0,170000.0,15000.0,0,0,0,0,0,False
Apple,Software Engineer,290000,"Cupertino, CA",4.0,2.0,170000.0,15000.0,0,0,0,0,0,False
Apple,Software Engineer,195000,"Cupertino, CA",1.0,1.0,125000.0,10000.0,0,0,0,0,0,False
Apple,Software Engineer,350000,"San Francisco, CA",20.0,2.0,205000.0,25000.0,0,0,0,0,0,False
Apple,Software Engineer,273000,"Cupertino, CA",14.0,1.0,190000.0,21000.0,0,0,0,0,0,False
Apple,Software Engineer,275000,"Cupertino, CA",6.0,3.0,185000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,300000,"Cupertino, CA",14.0,2.0,187000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,333000,"Cupertino, CA",15.0,6.0,189000.0,24000.0,0,0,0,0,0,False
Apple,Software Engineer,185000,"Cupertino, CA",8.0,2.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,310000,"Cupertino, CA",4.0,4.0,165000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,200000,"Cupertino, CA",11.0,4.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,276000,"San Francisco, CA",8.0,0.0,151000.0,10000.0,0,0,0,0,0,False
Apple,Hardware Engineer,208000,"Cupertino, CA",4.0,2.0,138000.0,10000.0,0,0,0,0,0,False
Apple,Data Scientist,425000,"Sunnyvale, CA",9.0,1.0,200000.0,75000.0,0,0,0,0,0,False
Apple,Software Engineer,450000,"Cupertino, CA",4.0,4.0,170000.0,40000.0,0,0,0,0,0,False
Apple,Software Engineer,305000,"Cupertino, CA",12.0,4.0,175000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,345000,"Cupertino, CA",4.0,0.0,192000.0,23000.0,0,0,0,0,0,False
Apple,Software Engineer,349000,"Cupertino, CA",8.0,5.0,183000.0,26000.0,0,0,0,0,0,False
Apple,Software Engineer,258000,"Cupertino, CA",8.0,1.0,147000.0,16000.0,0,0,0,0,0,False
Apple,Software Engineer,183000,"Cupertino, CA",1.0,1.0,130000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,377000,"Cupertino, CA",6.0,6.0,190000.0,10000.0,0,0,0,0,0,False
Apple,Product Manager,280000,"San Francisco, CA",12.0,5.0,165000.0,15000.0,0,0,0,0,0,False
Apple,Software Engineer,209000,"Cupertino, CA",2.0,2.5,130000.0,9000.0,0,0,0,0,0,False
Apple,Software Engineer,370000,"Cupertino, CA",15.0,5.0,180000.0,30000.0,0,0,0,0,0,False
Apple,Software Engineer,235000,"Cupertino, CA",2.0,2.0,136000.0,14000.0,0,0,0,0,0,False
Apple,Software Engineer,260000,"San Francisco, CA",4.0,1.0,155000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,190000,"Cupertino, CA",3.0,2.0,140000.0,10000.0,0,0,0,0,0,False
Apple,Software Engineer,280000,"Hong Kong, HK, Hong Kong (SAR)",6.0,3.0,140000.0,25000.0,0,0,0,0,0,False
Apple,Software Engineer,255000,"Sunnyvale, CA",10.0,2.0,165000.0,25000.0,0,0,0,0,0,False
Apple,Software Engineer,186000,"Seattle, WA",0.0,0.0,145000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,280000,"Cupertino, CA",10.0,1.0,170000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,280000,"Cupertino, CA",12.0,3.0,175000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,370000,"Seattle, WA",7.0,0.0,200000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineering Manager,415000,"Cupertino, CA",13.0,3.0,187000.0,34000.0,0,0,0,0,0,False
Apple,Software Engineer,210000,"Cupertino, CA",18.0,5.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineering Manager,340000,"Cupertino, CA",16.0,11.0,0.0,0.0,0,0,0,0,0,False
Apple,Hardware Engineer,175000,"Cupertino, CA",2.0,0.0,115000.0,10000.0,0,0,0,0,0,False
Apple,Hardware Engineer,225000,"Cupertino, CA",7.0,0.0,165000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,250000,"Cupertino, CA",5.0,1.0,165000.0,25000.0,0,0,0,0,0,False
